time mi_pulso
3.523076923077e-09 -1.097805561845e-02
3.538461538462e-09 -1.447805871920e-02
3.553846153846e-09 -1.327583961350e-02
3.569230769231e-09 -7.624359391913e-03
3.584615384615e-09 7.379129020584e-04
3.600000000000e-09 9.117813068026e-03
3.615384615385e-09 1.473170898822e-02
3.630769230769e-09 1.562683199908e-02
3.646153846154e-09 1.135584807211e-02
3.661538461538e-09 3.173121386529e-03
3.676923076923e-09 -6.327546954492e-03
3.692307692308e-09 -1.403125276771e-02
3.707692307692e-09 -1.731947074344e-02
3.723076923077e-09 -1.495554565869e-02
3.738461538462e-09 -7.540217636164e-03
3.753846153846e-09 2.627827348425e-03
3.769230769231e-09 1.225947570460e-02
3.784615384615e-09 1.813467089651e-02
3.800000000000e-09 1.817402319741e-02
3.815384615385e-09 1.216751371430e-02
3.830769230769e-09 1.907186548196e-03
3.846153846154e-09 -9.340144882038e-03
3.861538461538e-09 -1.786754597935e-02
3.876923076923e-09 -2.074403804599e-02
3.892307692308e-09 -1.681499407876e-02
3.907692307692e-09 -7.147652644902e-03
3.923076923077e-09 5.245246110461e-03
3.938461538462e-09 1.633728433036e-02
3.953846153846e-09 2.238972909334e-02
3.969230769231e-09 2.120400782114e-02
3.984615384615e-09 1.290821400042e-02
4.000000000000e-09 -2.057386279136e-16
4.015384615385e-09 -1.339547814979e-02
4.030769230769e-09 -2.283539634100e-02
4.046153846154e-09 -2.502366581891e-02
4.061538461538e-09 -1.895016258411e-02
4.076923076923e-09 -6.314747487808e-03
4.092307692308e-09 8.931889087889e-03
4.107692307692e-09 2.181251940012e-02
4.123076923077e-09 2.793688404749e-02
4.138461538462e-09 2.498494760688e-02
4.153846153846e-09 1.356302250057e-02
4.169230769231e-09 -2.876425766184e-03
4.184615384615e-09 -1.906313342268e-02
4.200000000000e-09 -2.958414680384e-02
4.215384615385e-09 -3.067780431494e-02
4.230769230769e-09 -2.155720805852e-02
4.246153846154e-09 -4.804315120079e-03
4.261538461538e-09 1.433671247634e-02
4.276923076923e-09 2.958185188148e-02
4.292307692308e-09 3.564932239151e-02
4.307692307692e-09 3.006444071235e-02
4.323076923077e-09 1.411852541123e-02
4.338461538462e-09 -7.375756967140e-03
4.353846153846e-09 -2.750971883071e-02
4.369230769231e-09 -3.947095865010e-02
4.384615384615e-09 -3.881566838493e-02
4.400000000000e-09 -2.507340587022e-02
4.415384615385e-09 -2.119011883676e-03
4.430769230769e-09 2.287656134375e-02
4.446153846154e-09 4.164661160617e-02
4.461538461538e-09 4.751695396599e-02
4.476923076923e-09 3.772204110070e-02
